trade_id,ticker,side,datetime,price,shares,reason,pnl_inr,pnl_pct
TCS.NS-00027,TCS.NS,BUY,2021-08-13,3264.983971,15,entry_bb_breakout,,
TCS.NS-00027,TCS.NS,SELL,2021-08-30,3485.767963,15,exit_max_hold,3261.129238,6.658796
TCS.NS-00028,TCS.NS,BUY,2022-01-03,3605.939764,13,entry_bb_breakout,,
TCS.NS-00028,TCS.NS,SELL,2022-01-17,3792.37142,13,exit_max_hold,2375.522509,5.067542
TCS.NS-00029,TCS.NS,BUY,2022-11-11,3175.15148,15,entry_bb_breakout,,
TCS.NS-00029,TCS.NS,SELL,2022-11-25,3242.47756,15,exit_max_hold,961.758982,2.019345
TCS.NS-00030,TCS.NS,BUY,2022-12-01,3328.070186,15,entry_bb_breakout,,
TCS.NS-00030,TCS.NS,SELL,2022-12-06,3238.364383,15,exit_atr_stop,-1394.835306,-2.794082
TCS.NS-00031,TCS.NS,BUY,2023-01-13,3231.262773,15,entry_bb_breakout,,
TCS.NS-00031,TCS.NS,SELL,2023-01-30,3292.372766,15,exit_max_hold,867.722618,1.790265
TCS.NS-00032,TCS.NS,BUY,2023-07-14,3398.499914,14,entry_bb_breakout,,
TCS.NS-00032,TCS.NS,SELL,2023-07-21,3262.192307,14,exit_atr_stop,-1954.931355,-4.108811
TCS.NS-00033,TCS.NS,BUY,2023-09-15,3488.433286,14,entry_bb_breakout,,
TCS.NS-00033,TCS.NS,SELL,2023-10-03,3403.156945,14,exit_mean_reversion,-1242.109907,-2.543323
TCS.NS-00034,TCS.NS,BUY,2023-12-15,3752.79758,13,entry_bb_breakout,,
TCS.NS-00034,TCS.NS,SELL,2024-01-01,3700.593602,13,exit_max_hold,-727.098762,-1.490373
TCS.NS-00035,TCS.NS,BUY,2024-02-06,4029.383069,12,entry_bb_breakout,,
TCS.NS-00035,TCS.NS,SELL,2024-02-20,3922.824472,12,exit_max_hold,-1326.416417,-2.743217
TCS.NS-00036,TCS.NS,BUY,2024-03-12,4084.183405,12,entry_bb_breakout,,
TCS.NS-00036,TCS.NS,SELL,2024-03-19,3870.901716,12,exit_mean_reversion,-2607.110784,-5.319527
TCS.NS-00037,TCS.NS,BUY,2024-07-01,3903.820075,12,entry_bb_breakout,,
TCS.NS-00037,TCS.NS,SELL,2024-07-15,4087.159988,12,exit_max_hold,2152.133068,4.594075
