trade_id,ticker,entry_time,entry_price,exit_time,exit_price,shares,days_held,exit_reason,fees_inr,gross_pnl_inr,net_pnl_inr,net_pnl_pct
INFY.NS-00022,INFY.NS,2020-09-14,870.577527,2020-09-28,898.152445,57,10,exit_max_hold,50.408804,1571.770295,1521.36149,3.065844
INFY.NS-00023,INFY.NS,2020-12-22,1097.663792,2021-01-06,1151.911671,45,10,exit_max_hold,50.615448,2441.154559,2390.539111,4.839651
INFY.NS-00024,INFY.NS,2021-01-11,1237.693489,2021-01-18,1178.820451,40,5,exit_atr_stop,48.330279,-2354.921499,-2403.251778,-4.854295
INFY.NS-00025,INFY.NS,2021-03-03,1208.329693,2021-03-18,1201.326893,41,10,exit_max_hold,49.39796,-287.11482,-336.51278,-0.679254
INFY.NS-00026,INFY.NS,2021-05-26,1256.624947,2021-06-09,1285.30783,39,10,exit_max_hold,49.567689,1118.632458,1069.064769,2.181392
INFY.NS-00027,INFY.NS,2021-06-14,1328.86515,2021-06-28,1427.433509,37,10,exit_max_hold,50.991525,3647.029279,3596.037754,7.313775
INFY.NS-00028,INFY.NS,2021-08-02,1483.17823,2021-08-16,1547.854714,33,10,exit_max_hold,50.012044,2134.323958,2084.311915,4.258488
INFY.NS-00029,INFY.NS,2021-08-17,1583.265725,2021-08-30,1542.087823,31,8,exit_atr_stop,48.44298,-1276.514939,-1324.957919,-2.69952
INFY.NS-00030,INFY.NS,2021-10-18,1629.17331,2021-10-22,1561.840149,30,4,exit_atr_stop,47.865202,-2019.994836,-2067.860038,-4.230898
INFY.NS-00031,INFY.NS,2022-08-04,1482.835041,2022-08-22,1458.899824,33,10,exit_max_hold,48.538625,-789.86217,-838.400796,-1.713345
INFY.NS-00032,INFY.NS,2023-06-30,1268.127155,2023-07-14,1352.660978,39,10,exit_max_hold,51.105369,3296.819087,3245.713719,6.562704
INFY.NS-00033,INFY.NS,2023-07-14,1354.014315,2023-07-21,1263.160096,36,5,exit_mean_reversion,47.109139,-3270.751888,-3317.861028,-6.806635
INFY.NS-00034,INFY.NS,2023-09-04,1391.189266,2023-09-18,1415.126555,35,10,exit_max_hold,49.110527,837.805145,788.694618,1.619775
INFY.NS-00035,INFY.NS,2024-06-06,1436.195888,2024-06-21,1493.671126,34,10,exit_max_hold,49.807739,1954.158068,1904.350329,3.899907
INFY.NS-00036,INFY.NS,2024-07-02,1581.352048,2024-07-16,1682.097617,31,10,exit_max_hold,50.58347,3123.112636,3072.529166,6.267665
INFY.NS-00037,INFY.NS,2024-07-19,1749.042175,2024-08-02,1774.824668,28,10,exit_max_hold,49.334136,721.909812,672.575676,1.373355
INFY.NS-00038,INFY.NS,2025-05-12,1605.12919,2025-05-19,1537.38888,31,5,exit_atr_stop,48.70903,-2099.949606,-2148.658636,-4.31813
INFY.NS-00039,INFY.NS,2025-06-17,1640.719974,2025-06-23,1583.208,30,4,exit_mean_reversion,48.35892,-1725.359233,-1773.718152,-3.603536
ICICIBANK.NS-00001,ICICIBANK.NS,2015-04-28,272.919992,2015-05-06,260.385093,183,5,exit_mean_reversion,48.797415,-2293.886515,-2342.68393,-4.690588
ICICIBANK.NS-00002,ICICIBANK.NS,2016-04-21,214.930654,2016-04-28,203.727614,232,5,exit_atr_stop,48.564359,-2599.105225,-2647.669584,-5.309791
ICICIBANK.NS-00003,ICICIBANK.NS,2016-06-07,215.822487,2016-06-17,206.491536,231,8,exit_atr_stop,48.77727,-2155.449793,-2204.227063,-4.421276
ICICIBANK.NS-00004,ICICIBANK.NS,2016-09-06,236.387437,2016-09-21,233.726432,211,10,exit_max_hold,49.597013,-561.472145,-611.069158,-1.225134
ICICIBANK.NS-00005,ICICIBANK.NS,2017-02-01,243.582225,2017-02-15,243.122229,205,10,exit_max_hold,49.887207,-94.299274,-144.186481,-0.288752
ICICIBANK.NS-00006,ICICIBANK.NS,2017-05-04,258.145121,2017-05-18,266.676776,193,10,exit_max_hold,50.645313,1646.609268,1595.963954,3.203331
ICICIBANK.NS-00007,ICICIBANK.NS,2017-07-26,298.25214,2017-07-28,284.321178,167,2,exit_mean_reversion,48.644872,-2326.470688,-2375.11556,-4.768532
ICICIBANK.NS-00008,ICICIBANK.NS,2017-10-25,293.783384,2017-11-08,293.297736,170,10,exit_max_hold,49.901895,-82.560273,-132.462169,-0.265226
ICICIBANK.NS-00009,ICICIBANK.NS,2018-05-08,297.24306,2018-05-17,284.177207,168,7,exit_atr_stop,48.839302,-2195.063375,-2243.902678,-4.493482
ICICIBANK.NS-00010,ICICIBANK.NS,2018-08-09,320.019183,2018-08-27,327.781828,156,10,exit_max_hold,50.528479,1210.972671,1160.444192,2.324468
ICICIBANK.NS-00011,ICICIBANK.NS,2018-10-29,337.28025,2018-11-13,348.033141,148,10,exit_max_hold,50.713191,1591.427878,1540.714687,3.086524
