Date,Close,High,Low,Open,Volume
2021-10-06,27676.9375,28485.788669300688,27574.98111473395,28375.26700922278,35139
2021-10-07,27627.314453125,27908.37047887724,27440.289918715323,27770.72223691315,43358
2021-10-08,27329.76953125,27784.704126737346,27295.110356909878,27784.704126737346,29947
2021-10-11,27590.984375,27663.64883721157,27201.62393293212,27327.653102346656,25350
2021-10-12,27279.2109375,27657.100364795406,27235.099959747262,27588.572389722653,30650
2021-10-13,27387.41796875,27805.18574619015,27258.140762508046,27451.221005547257,53052
2021-10-14,27526.001953125,27864.263060667326,27481.4005940008,27566.716822929582,46335
2021-10-18,27757.236328125,27864.261893455885,27519.650880639292,27743.84419032782,35497
2021-10-19,27270.34765625,27956.171584166666,27131.9109638439,27765.84901636732,20380
2021-10-20,27034.63671875,27595.71231056148,26876.065648567725,27272.51640065445,36072
2021-10-21,27193.453125,27358.916422396684,26780.856406579347,27295.163380448626,26460
2021-10-22,27311.109375,27582.909754697204,26806.79657607775,27418.531081900383,27130
2021-10-25,26855.041015625,27311.06018103791,26398.381473790072,27199.651991077568,20656
2021-10-26,27350.197265625,27563.95413922587,26898.362676531935,26899.347279287398,28367
2021-10-27,27674.97265625,28041.589167995637,27229.095609640197,27352.26905001734,50424
2021-10-28,27758.958984375,27999.448237721175,27432.26697969746,27809.12373187043,39917
2021-10-29,28194.34765625,28553.481531722264,27278.42089090915,27958.48528354891,35291
2021-11-01,28696.986328125,29144.242138648002,28159.639363693677,28356.559918684543,55692
2021-11-02,28423.6640625,28971.88979317093,28263.271868468797,28847.97790512584,21184
2021-11-03,28534.33203125,28682.464756333757,28258.100940811466,28476.682766904152,33175
2021-11-04,28599.955078125,28769.799069410466,28534.332836745638,28553.48259291888,2078
2021-11-08,29071.927734375,29359.776009640525,28532.26534257891,28602.71444979935,38204
2021-11-09,28779.599609375,29301.783392171677,28702.65250527193,29242.70721597778,18387
2021-11-10,28903.806640625,28975.780728152862,28519.023057290768,28650.95984616275,23034
2021-11-11,28563.873046875,28847.290613152098,28405.794278644044,28748.92839670669,18576
2021-11-12,28936.39453125,29085.069558765237,28425.089511772992,28778.413853148228,23683
2021-11-15,28629.49609375,29289.96852102895,28584.2543574735,28996.55684228528,12910
2021-11-16,27705.689453125,28824.690586347675,27571.095013448885,28789.639109679913,46214
2021-11-17,27264.685546875,27858.79332515594,27193.497996747454,27714.59901742285,29245
2021-11-18,26749.00390625,27593.250917995254,26520.32987612647,27265.624293566383,40803
2021-11-22,26193.439453125,26869.811607456322,25922.229445967274,26869.811607456322,23769
2021-11-23,26328.771484375,26511.95760669959,25802.00898015329,26111.666564410723,32528
2021-11-24,26469.818359375,26584.278447133493,26254.436473807946,26480.895142061305,29212
